,series,year,month,count,rate,date
392,Manufacturing,2002,3,1367,7.3,2002-03-01 08:00:00+00:00
393,Manufacturing,2002,4,1322,7.2,2002-04-01 08:00:00+00:00
394,Manufacturing,2002,5,1194,6.6,2002-05-01 07:00:00+00:00
395,Manufacturing,2002,6,1187,6.6,2002-06-01 07:00:00+00:00
396,Manufacturing,2002,7,1185,6.6,2002-07-01 07:00:00+00:00
397,Manufacturing,2002,8,1108,6.2,2002-08-01 07:00:00+00:00
398,Manufacturing,2002,9,1076,6.1,2002-09-01 07:00:00+00:00
399,Manufacturing,2002,10,1046,5.9,2002-10-01 07:00:00+00:00
400,Manufacturing,2002,11,1115,6.3,2002-11-01 08:00:00+00:00
401,Manufacturing,2002,12,1188,6.6,2002-12-01 08:00:00+00:00
402,Manufacturing,2003,1,1302,7.2,2003-01-01 08:00:00+00:00
403,Manufacturing,2003,2,1229,6.7,2003-02-01 08:00:00+00:00
404,Manufacturing,2003,3,1222,6.8,2003-03-01 08:00:00+00:00
405,Manufacturing,2003,4,1199,6.7,2003-04-01 08:00:00+00:00
406,Manufacturing,2003,5,1150,6.5,2003-05-01 07:00:00+00:00
407,Manufacturing,2003,6,1232,7.0,2003-06-01 07:00:00+00:00
408,Manufacturing,2003,7,1193,6.9,2003-07-01 07:00:00+00:00
409,Manufacturing,2003,8,1186,6.7,2003-08-01 07:00:00+00:00
410,Manufacturing,2003,9,1175,6.8,2003-09-01 07:00:00+00:00
411,Manufacturing,2003,10,1041,6.0,2003-10-01 07:00:00+00:00
412,Manufacturing,2003,11,1034,5.9,2003-11-01 08:00:00+00:00
413,Manufacturing,2003,12,1025,5.9,2003-12-01 08:00:00+00:00
414,Manufacturing,2004,1,1110,6.4,2004-01-01 08:00:00+00:00
415,Manufacturing,2004,2,1094,6.3,2004-02-01 08:00:00+00:00
416,Manufacturing,2004,3,1083,6.3,2004-03-01 08:00:00+00:00
417,Manufacturing,2004,4,1004,5.8,2004-04-01 08:00:00+00:00
418,Manufacturing,2004,5,966,5.6,2004-05-01 07:00:00+00:00
419,Manufacturing,2004,6,957,5.6,2004-06-01 07:00:00+00:00
420,Manufacturing,2004,7,1019,6.0,2004-07-01 07:00:00+00:00
421,Manufacturing,2004,8,840,4.9,2004-08-01 07:00:00+00:00
422,Manufacturing,2004,9,852,5.0,2004-09-01 07:00:00+00:00
423,Manufacturing,2004,10,884,5.3,2004-10-01 07:00:00+00:00
424,Manufacturing,2004,11,905,5.4,2004-11-01 08:00:00+00:00
425,Manufacturing,2004,12,872,5.1,2004-12-01 08:00:00+00:00
426,Manufacturing,2005,1,889,5.3,2005-01-01 08:00:00+00:00
427,Manufacturing,2005,2,889,5.3,2005-02-01 08:00:00+00:00
428,Manufacturing,2005,3,879,5.3,2005-03-01 08:00:00+00:00
429,Manufacturing,2005,4,793,4.8,2005-04-01 08:00:00+00:00
430,Manufacturing,2005,5,743,4.5,2005-05-01 07:00:00+00:00
431,Manufacturing,2005,6,743,4.4,2005-06-01 07:00:00+00:00
432,Manufacturing,2005,7,883,5.3,2005-07-01 07:00:00+00:00
433,Manufacturing,2005,8,767,4.7,2005-08-01 07:00:00+00:00
434,Manufacturing,2005,9,775,4.7,2005-09-01 07:00:00+00:00
435,Manufacturing,2005,10,800,4.8,2005-10-01 07:00:00+00:00
436,Manufacturing,2005,11,823,4.9,2005-11-01 08:00:00+00:00
437,Manufacturing,2005,12,757,4.5,2005-12-01 08:00:00+00:00
438,Manufacturing,2006,1,778,4.6,2006-01-01 08:00:00+00:00
439,Manufacturing,2006,2,821,4.9,2006-02-01 08:00:00+00:00
440,Manufacturing,2006,3,701,4.1,2006-03-01 08:00:00+00:00
441,Manufacturing,2006,4,745,4.5,2006-04-01 08:00:00+00:00
442,Manufacturing,2006,5,680,4.1,2006-05-01 07:00:00+00:00
443,Manufacturing,2006,6,635,3.8,2006-06-01 07:00:00+00:00
444,Manufacturing,2006,7,736,4.4,2006-07-01 07:00:00+00:00
445,Manufacturing,2006,8,680,4.1,2006-08-01 07:00:00+00:00
446,Manufacturing,2006,9,632,3.8,2006-09-01 07:00:00+00:00
447,Manufacturing,2006,10,618,3.7,2006-10-01 07:00:00+00:00
448,Manufacturing,2006,11,702,4.3,2006-11-01 08:00:00+00:00
449,Manufacturing,2006,12,660,4.0,2006-12-01 08:00:00+00:00
450,Manufacturing,2007,1,752,4.6,2007-01-01 08:00:00+00:00
451,Manufacturing,2007,2,774,4.7,2007-02-01 08:00:00+00:00
452,Manufacturing,2007,3,742,4.5,2007-03-01 08:00:00+00:00
453,Manufacturing,2007,4,749,4.6,2007-04-01 07:00:00+00:00
454,Manufacturing,2007,5,651,3.9,2007-05-01 07:00:00+00:00
455,Manufacturing,2007,6,653,4.0,2007-06-01 07:00:00+00:00
456,Manufacturing,2007,7,621,3.7,2007-07-01 07:00:00+00:00
457,Manufacturing,2007,8,596,3.6,2007-08-01 07:00:00+00:00
458,Manufacturing,2007,9,673,4.1,2007-09-01 07:00:00+00:00
459,Manufacturing,2007,10,729,4.3,2007-10-01 07:00:00+00:00
460,Manufacturing,2007,11,762,4.5,2007-11-01 07:00:00+00:00
461,Manufacturing,2007,12,772,4.6,2007-12-01 08:00:00+00:00
462,Manufacturing,2008,1,837,5.1,2008-01-01 08:00:00+00:00
463,Manufacturing,2008,2,820,5.0,2008-02-01 08:00:00+00:00
464,Manufacturing,2008,3,831,5.0,2008-03-01 08:00:00+00:00
465,Manufacturing,2008,4,796,4.8,2008-04-01 07:00:00+00:00
466,Manufacturing,2008,5,879,5.3,2008-05-01 07:00:00+00:00
467,Manufacturing,2008,6,862,5.2,2008-06-01 07:00:00+00:00
468,Manufacturing,2008,7,908,5.5,2008-07-01 07:00:00+00:00
469,Manufacturing,2008,8,960,5.7,2008-08-01 07:00:00+00:00
470,Manufacturing,2008,9,984,6.0,2008-09-01 07:00:00+00:00
471,Manufacturing,2008,10,1007,6.2,2008-10-01 07:00:00+00:00
472,Manufacturing,2008,11,1144,7.0,2008-11-01 07:00:00+00:00
473,Manufacturing,2008,12,1315,8.3,2008-12-01 08:00:00+00:00
474,Manufacturing,2009,1,1711,10.9,2009-01-01 08:00:00+00:00
475,Manufacturing,2009,2,1822,11.5,2009-02-01 08:00:00+00:00
476,Manufacturing,2009,3,1912,12.2,2009-03-01 08:00:00+00:00
477,Manufacturing,2009,4,1968,12.4,2009-04-01 07:00:00+00:00
478,Manufacturing,2009,5,2010,12.6,2009-05-01 07:00:00+00:00
479,Manufacturing,2009,6,2010,12.6,2009-06-01 07:00:00+00:00
480,Manufacturing,2009,7,1988,12.4,2009-07-01 07:00:00+00:00
481,Manufacturing,2009,8,1866,11.8,2009-08-01 07:00:00+00:00
482,Manufacturing,2009,9,1876,11.9,2009-09-01 07:00:00+00:00
483,Manufacturing,2009,10,1884,12.2,2009-10-01 07:00:00+00:00
484,Manufacturing,2009,11,1882,12.5,2009-11-01 07:00:00+00:00
485,Manufacturing,2009,12,1747,11.9,2009-12-01 08:00:00+00:00
486,Manufacturing,2010,1,1918,13.0,2010-01-01 08:00:00+00:00
487,Manufacturing,2010,2,1814,12.1,2010-02-01 08:00:00+00:00
488,Wholesale and Retail Trade,2000,1,1000,5.0,2000-01-01 08:00:00+00:00
489,Wholesale and Retail Trade,2000,2,1023,5.2,2000-02-01 08:00:00+00:00
490,Wholesale and Retail Trade,2000,3,983,5.1,2000-03-01 08:00:00+00:00
491,Wholesale and Retail Trade,2000,4,793,4.1,2000-04-01 08:00:00+00:00
492,Wholesale and Retail Trade,2000,5,821,4.3,2000-05-01 07:00:00+00:00
493,Wholesale and Retail Trade,2000,6,837,4.4,2000-06-01 07:00:00+00:00
494,Wholesale and Retail Trade,2000,7,792,4.1,2000-07-01 07:00:00+00:00
495,Wholesale and Retail Trade,2000,8,853,4.3,2000-08-01 07:00:00+00:00
496,Wholesale and Retail Trade,2000,9,791,4.1,2000-09-01 07:00:00+00:00
497,Wholesale and Retail Trade,2000,10,739,3.7,2000-10-01 07:00:00+00:00
498,Wholesale and Retail Trade,2000,11,701,3.6,2000-11-01 08:00:00+00:00
499,Wholesale and Retail Trade,2000,12,715,3.7,2000-12-01 08:00:00+00:00
500,Wholesale and Retail Trade,2001,1,908,4.7,2001-01-01 08:00:00+00:00
501,Wholesale and Retail Trade,2001,2,990,5.2,2001-02-01 08:00:00+00:00
502,Wholesale and Retail Trade,2001,3,1037,5.4,2001-03-01 08:00:00+00:00
503,Wholesale and Retail Trade,2001,4,820,4.3,2001-04-01 08:00:00+00:00
504,Wholesale and Retail Trade,2001,5,875,4.5,2001-05-01 07:00:00+00:00
505,Wholesale and Retail Trade,2001,6,955,4.9,2001-06-01 07:00:00+00:00
506,Wholesale and Retail Trade,2001,7,833,4.3,2001-07-01 07:00:00+00:00
507,Wholesale and Retail Trade,2001,8,928,4.8,2001-08-01 07:00:00+00:00
508,Wholesale and Retail Trade,2001,9,936,4.8,2001-09-01 07:00:00+00:00
509,Wholesale and Retail Trade,2001,10,941,4.8,2001-10-01 07:00:00+00:00
510,Wholesale and Retail Trade,2001,11,1046,5.3,2001-11-01 08:00:00+00:00
511,Wholesale and Retail Trade,2001,12,1074,5.4,2001-12-01 08:00:00+00:00
512,Wholesale and Retail Trade,2002,1,1212,6.3,2002-01-01 08:00:00+00:00
513,Wholesale and Retail Trade,2002,2,1264,6.6,2002-02-01 08:00:00+00:00
514,Wholesale and Retail Trade,2002,3,1269,6.6,2002-03-01 08:00:00+00:00
515,Wholesale and Retail Trade,2002,4,1222,6.4,2002-04-01 08:00:00+00:00
516,Wholesale and Retail Trade,2002,5,1138,5.8,2002-05-01 07:00:00+00:00
517,Wholesale and Retail Trade,2002,6,1240,6.2,2002-06-01 07:00:00+00:00
518,Wholesale and Retail Trade,2002,7,1132,5.6,2002-07-01 07:00:00+00:00
519,Wholesale and Retail Trade,2002,8,1170,5.8,2002-08-01 07:00:00+00:00
520,Wholesale and Retail Trade,2002,9,1171,5.9,2002-09-01 07:00:00+00:00
521,Wholesale and Retail Trade,2002,10,1212,6.1,2002-10-01 07:00:00+00:00
522,Wholesale and Retail Trade,2002,11,1242,6.2,2002-11-01 08:00:00+00:00
523,Wholesale and Retail Trade,2002,12,1150,5.7,2002-12-01 08:00:00+00:00
524,Wholesale and Retail Trade,2003,1,1342,6.7,2003-01-01 08:00:00+00:00
525,Wholesale and Retail Trade,2003,2,1238,6.1,2003-02-01 08:00:00+00:00
526,Wholesale and Retail Trade,2003,3,1179,5.9,2003-03-01 08:00:00+00:00
527,Wholesale and Retail Trade,2003,4,1201,6.0,2003-04-01 08:00:00+00:00
528,Wholesale and Retail Trade,2003,5,1247,6.2,2003-05-01 07:00:00+00:00
529,Wholesale and Retail Trade,2003,6,1434,6.9,2003-06-01 07:00:00+00:00
530,Wholesale and Retail Trade,2003,7,1387,6.6,2003-07-01 07:00:00+00:00
531,Wholesale and Retail Trade,2003,8,1161,5.6,2003-08-01 07:00:00+00:00
532,Wholesale and Retail Trade,2003,9,1229,5.9,2003-09-01 07:00:00+00:00
533,Wholesale and Retail Trade,2003,10,1189,5.7,2003-10-01 07:00:00+00:00
534,Wholesale and Retail Trade,2003,11,1156,5.4,2003-11-01 08:00:00+00:00
535,Wholesale and Retail Trade,2003,12,1081,5.0,2003-12-01 08:00:00+00:00
536,Wholesale and Retail Trade,2004,1,1389,6.5,2004-01-01 08:00:00+00:00
537,Wholesale and Retail Trade,2004,2,1369,6.5,2004-02-01 08:00:00+00:00
538,Wholesale and Retail Trade,2004,3,1386,6.8,2004-03-01 08:00:00+00:00
539,Wholesale and Retail Trade,2004,4,1248,6.1,2004-04-01 08:00:00+00:00
540,Wholesale and Retail Trade,2004,5,1183,5.8,2004-05-01 07:00:00+00:00
541,Wholesale and Retail Trade,2004,6,1182,5.8,2004-06-01 07:00:00+00:00
542,Wholesale and Retail Trade,2004,7,1163,5.5,2004-07-01 07:00:00+00:00
543,Wholesale and Retail Trade,2004,8,1079,5.1,2004-08-01 07:00:00+00:00
544,Wholesale and Retail Trade,2004,9,1127,5.5,2004-09-01 07:00:00+00:00
545,Wholesale and Retail Trade,2004,10,1138,5.4,2004-10-01 07:00:00+00:00
546,Wholesale and Retail Trade,2004,11,1045,5.0,2004-11-01 08:00:00+00:00
547,Wholesale and Retail Trade,2004,12,1058,5.0,2004-12-01 08:00:00+00:00
548,Wholesale and Retail Trade,2005,1,1302,6.3,2005-01-01 08:00:00+00:00
549,Wholesale and Retail Trade,2005,2,1301,6.2,2005-02-01 08:00:00+00:00
550,Wholesale and Retail Trade,2005,3,1173,5.6,2005-03-01 08:00:00+00:00
551,Wholesale and Retail Trade,2005,4,1131,5.4,2005-04-01 08:00:00+00:00
552,Wholesale and Retail Trade,2005,5,1145,5.4,2005-05-01 07:00:00+00:00
553,Wholesale and Retail Trade,2005,6,1197,5.7,2005-06-01 07:00:00+00:00
554,Wholesale and Retail Trade,2005,7,1194,5.6,2005-07-01 07:00:00+00:00
555,Wholesale and Retail Trade,2005,8,1130,5.3,2005-08-01 07:00:00+00:00
556,Wholesale and Retail Trade,2005,9,1038,4.9,2005-09-01 07:00:00+00:00
557,Wholesale and Retail Trade,2005,10,1050,4.9,2005-10-01 07:00:00+00:00
558,Wholesale and Retail Trade,2005,11,1013,4.7,2005-11-01 08:00:00+00:00
559,Wholesale and Retail Trade,2005,12,968,4.5,2005-12-01 08:00:00+00:00
560,Wholesale and Retail Trade,2006,1,1203,5.7,2006-01-01 08:00:00+00:00
561,Wholesale and Retail Trade,2006,2,1141,5.4,2006-02-01 08:00:00+00:00
562,Wholesale and Retail Trade,2006,3,1022,4.9,2006-03-01 08:00:00+00:00
563,Wholesale and Retail Trade,2006,4,972,4.6,2006-04-01 08:00:00+00:00
564,Wholesale and Retail Trade,2006,5,1025,4.8,2006-05-01 07:00:00+00:00
565,Wholesale and Retail Trade,2006,6,1085,5.1,2006-06-01 07:00:00+00:00
566,Wholesale and Retail Trade,2006,7,1083,5.1,2006-07-01 07:00:00+00:00
567,Wholesale and Retail Trade,2006,8,977,4.7,2006-08-01 07:00:00+00:00
568,Wholesale and Retail Trade,2006,9,1008,4.9,2006-09-01 07:00:00+00:00
569,Wholesale and Retail Trade,2006,10,972,4.7,2006-10-01 07:00:00+00:00
570,Wholesale and Retail Trade,2006,11,1018,4.8,2006-11-01 08:00:00+00:00
571,Wholesale and Retail Trade,2006,12,965,4.5,2006-12-01 08:00:00+00:00
572,Wholesale and Retail Trade,2007,1,1166,5.5,2007-01-01 08:00:00+00:00
573,Wholesale and Retail Trade,2007,2,1045,5.1,2007-02-01 08:00:00+00:00
574,Wholesale and Retail Trade,2007,3,896,4.4,2007-03-01 08:00:00+00:00
575,Wholesale and Retail Trade,2007,4,872,4.2,2007-04-01 07:00:00+00:00
576,Wholesale and Retail Trade,2007,5,795,3.9,2007-05-01 07:00:00+00:00
577,Wholesale and Retail Trade,2007,6,979,4.6,2007-06-01 07:00:00+00:00
578,Wholesale and Retail Trade,2007,7,1089,5.2,2007-07-01 07:00:00+00:00
579,Wholesale and Retail Trade,2007,8,1028,5.1,2007-08-01 07:00:00+00:00
580,Wholesale and Retail Trade,2007,9,1027,5.1,2007-09-01 07:00:00+00:00
581,Wholesale and Retail Trade,2007,10,907,4.4,2007-10-01 07:00:00+00:00
582,Wholesale and Retail Trade,2007,11,893,4.3,2007-11-01 07:00:00+00:00
583,Wholesale and Retail Trade,2007,12,1009,4.8,2007-12-01 08:00:00+00:00
584,Wholesale and Retail Trade,2008,1,1120,5.4,2008-01-01 08:00:00+00:00
585,Wholesale and Retail Trade,2008,2,1007,4.9,2008-02-01 08:00:00+00:00
586,Wholesale and Retail Trade,2008,3,992,4.9,2008-03-01 08:00:00+00:00
587,Wholesale and Retail Trade,2008,4,919,4.5,2008-04-01 07:00:00+00:00
588,Wholesale and Retail Trade,2008,5,1049,5.2,2008-05-01 07:00:00+00:00
589,Wholesale and Retail Trade,2008,6,1160,5.7,2008-06-01 07:00:00+00:00
590,Wholesale and Retail Trade,2008,7,1329,6.5,2008-07-01 07:00:00+00:00
591,Wholesale and Retail Trade,2008,8,1366,6.6,2008-08-01 07:00:00+00:00
592,Wholesale and Retail Trade,2008,9,1277,6.2,2008-09-01 07:00:00+00:00
593,Wholesale and Retail Trade,2008,10,1313,6.3,2008-10-01 07:00:00+00:00
594,Wholesale and Retail Trade,2008,11,1397,6.7,2008-11-01 07:00:00+00:00
595,Wholesale and Retail Trade,2008,12,1535,7.2,2008-12-01 08:00:00+00:00
596,Wholesale and Retail Trade,2009,1,1794,8.7,2009-01-01 08:00:00+00:00
597,Wholesale and Retail Trade,2009,2,1847,8.9,2009-02-01 08:00:00+00:00
598,Wholesale and Retail Trade,2009,3,1852,9.0,2009-03-01 08:00:00+00:00
599,Wholesale and Retail Trade,2009,4,1833,9.0,2009-04-01 07:00:00+00:00
600,Wholesale and Retail Trade,2009,5,1835,9.0,2009-05-01 07:00:00+00:00
601,Wholesale and Retail Trade,2009,6,1863,9.1,2009-06-01 07:00:00+00:00
602,Wholesale and Retail Trade,2009,7,1854,9.0,2009-07-01 07:00:00+00:00
603,Wholesale and Retail Trade,2009,8,1794,8.8,2009-08-01 07:00:00+00:00
604,Wholesale and Retail Trade,2009,9,1809,9.0,2009-09-01 07:00:00+00:00
605,Wholesale and Retail Trade,2009,10,1919,9.6,2009-10-01 07:00:00+00:00
606,Wholesale and Retail Trade,2009,11,1879,9.2,2009-11-01 07:00:00+00:00
607,Wholesale and Retail Trade,2009,12,1851,9.1,2009-12-01 08:00:00+00:00
608,Wholesale and Retail Trade,2010,1,2154,10.5,2010-01-01 08:00:00+00:00
609,Wholesale and Retail Trade,2010,2,2071,10.0,2010-02-01 08:00:00+00:00
610,Transportation and Utilities,2000,1,236,4.3,2000-01-01 08:00:00+00:00
611,Transportation and Utilities,2000,2,223,4.0,2000-02-01 08:00:00+00:00
612,Transportation and Utilities,2000,3,192,3.5,2000-03-01 08:00:00+00:00
613,Transportation and Utilities,2000,4,191,3.4,2000-04-01 08:00:00+00:00
614,Transportation and Utilities,2000,5,190,3.4,2000-05-01 07:00:00+00:00
615,Transportation and Utilities,2000,6,183,3.2,2000-06-01 07:00:00+00:00
616,Transportation and Utilities,2000,7,228,3.9,2000-07-01 07:00:00+00:00
617,Transportation and Utilities,2000,8,198,3.4,2000-08-01 07:00:00+00:00
618,Transportation and Utilities,2000,9,231,4.0,2000-09-01 07:00:00+00:00
619,Transportation and Utilities,2000,10,153,2.8,2000-10-01 07:00:00+00:00
620,Transportation and Utilities,2000,11,129,2.3,2000-11-01 08:00:00+00:00
621,Transportation and Utilities,2000,12,168,3.1,2000-12-01 08:00:00+00:00
622,Transportation and Utilities,2001,1,194,3.6,2001-01-01 08:00:00+00:00
623,Transportation and Utilities,2001,2,189,3.4,2001-02-01 08:00:00+00:00
624,Transportation and Utilities,2001,3,193,3.5,2001-03-01 08:00:00+00:00
625,Transportation and Utilities,2001,4,232,4.2,2001-04-01 08:00:00+00:00
626,Transportation and Utilities,2001,5,178,3.1,2001-05-01 07:00:00+00:00
627,Transportation and Utilities,2001,6,242,4.3,2001-06-01 07:00:00+00:00
628,Transportation and Utilities,2001,7,236,4.2,2001-07-01 07:00:00+00:00
629,Transportation and Utilities,2001,8,226,3.9,2001-08-01 07:00:00+00:00
630,Transportation and Utilities,2001,9,214,3.9,2001-09-01 07:00:00+00:00
631,Transportation and Utilities,2001,10,321,5.8,2001-10-01 07:00:00+00:00
632,Transportation and Utilities,2001,11,302,5.4,2001-11-01 08:00:00+00:00
633,Transportation and Utilities,2001,12,310,5.6,2001-12-01 08:00:00+00:00
634,Transportation and Utilities,2002,1,368,6.6,2002-01-01 08:00:00+00:00
635,Transportation and Utilities,2002,2,331,5.7,2002-02-01 08:00:00+00:00
636,Transportation and Utilities,2002,3,313,5.6,2002-03-01 08:00:00+00:00
637,Transportation and Utilities,2002,4,280,5.0,2002-04-01 08:00:00+00:00
638,Transportation and Utilities,2002,5,257,4.5,2002-05-01 07:00:00+00:00
639,Transportation and Utilities,2002,6,274,4.9,2002-06-01 07:00:00+00:00
640,Transportation and Utilities,2002,7,270,4.9,2002-07-01 07:00:00+00:00
641,Transportation and Utilities,2002,8,221,3.9,2002-08-01 07:00:00+00:00
642,Transportation and Utilities,2002,9,235,4.2,2002-09-01 07:00:00+00:00
643,Transportation and Utilities,2002,10,262,4.7,2002-10-01 07:00:00+00:00
644,Transportation and Utilities,2002,11,233,4.2,2002-11-01 08:00:00+00:00
645,Transportation and Utilities,2002,12,243,4.6,2002-12-01 08:00:00+00:00
646,Transportation and Utilities,2003,1,331,6.3,2003-01-01 08:00:00+00:00
647,Transportation and Utilities,2003,2,316,5.8,2003-02-01 08:00:00+00:00
648,Transportation and Utilities,2003,3,319,5.9,2003-03-01 08:00:00+00:00
649,Transportation and Utilities,2003,4,274,5.0,2003-04-01 08:00:00+00:00
650,Transportation and Utilities,2003,5,260,4.9,2003-05-01 07:00:00+00:00
651,Transportation and Utilities,2003,6,300,5.5,2003-06-01 07:00:00+00:00
652,Transportation and Utilities,2003,7,289,5.4,2003-07-01 07:00:00+00:00
653,Transportation and Utilities,2003,8,255,4.8,2003-08-01 07:00:00+00:00
654,Transportation and Utilities,2003,9,255,4.7,2003-09-01 07:00:00+00:00
655,Transportation and Utilities,2003,10,260,4.8,2003-10-01 07:00:00+00:00
656,Transportation and Utilities,2003,11,275,5.1,2003-11-01 08:00:00+00:00
657,Transportation and Utilities,2003,12,267,5.0,2003-12-01 08:00:00+00:00
658,Transportation and Utilities,2004,1,243,4.6,2004-01-01 08:00:00+00:00
659,Transportation and Utilities,2004,2,291,5.5,2004-02-01 08:00:00+00:00
660,Transportation and Utilities,2004,3,284,5.4,2004-03-01 08:00:00+00:00
661,Transportation and Utilities,2004,4,239,4.5,2004-04-01 08:00:00+00:00
662,Transportation and Utilities,2004,5,230,4.4,2004-05-01 07:00:00+00:00
663,Transportation and Utilities,2004,6,227,4.3,2004-06-01 07:00:00+00:00
664,Transportation and Utilities,2004,7,231,4.3,2004-07-01 07:00:00+00:00
665,Transportation and Utilities,2004,8,236,4.4,2004-08-01 07:00:00+00:00
666,Transportation and Utilities,2004,9,208,3.9,2004-09-01 07:00:00+00:00
667,Transportation and Utilities,2004,10,219,4.0,2004-10-01 07:00:00+00:00
668,Transportation and Utilities,2004,11,217,4.0,2004-11-01 08:00:00+00:00
669,Transportation and Utilities,2004,12,204,3.8,2004-12-01 08:00:00+00:00
670,Transportation and Utilities,2005,1,276,5.0,2005-01-01 08:00:00+00:00
671,Transportation and Utilities,2005,2,245,4.4,2005-02-01 08:00:00+00:00
672,Transportation and Utilities,2005,3,267,4.8,2005-03-01 08:00:00+00:00
673,Transportation and Utilities,2005,4,257,4.7,2005-04-01 08:00:00+00:00
674,Transportation and Utilities,2005,5,223,4.1,2005-05-01 07:00:00+00:00
675,Transportation and Utilities,2005,6,247,4.5,2005-06-01 07:00:00+00:00
676,Transportation and Utilities,2005,7,222,3.9,2005-07-01 07:00:00+00:00
677,Transportation and Utilities,2005,8,187,3.3,2005-08-01 07:00:00+00:00
678,Transportation and Utilities,2005,9,211,3.7,2005-09-01 07:00:00+00:00
679,Transportation and Utilities,2005,10,251,4.4,2005-10-01 07:00:00+00:00
680,Transportation and Utilities,2005,11,199,3.5,2005-11-01 08:00:00+00:00
681,Transportation and Utilities,2005,12,202,3.6,2005-12-01 08:00:00+00:00
682,Transportation and Utilities,2006,1,287,5.0,2006-01-01 08:00:00+00:00
683,Transportation and Utilities,2006,2,260,4.6,2006-02-01 08:00:00+00:00
684,Transportation and Utilities,2006,3,263,4.7,2006-03-01 08:00:00+00:00
685,Transportation and Utilities,2006,4,272,4.8,2006-04-01 08:00:00+00:00
686,Transportation and Utilities,2006,5,226,4.0,2006-05-01 07:00:00+00:00
687,Transportation and Utilities,2006,6,225,3.9,2006-06-01 07:00:00+00:00
688,Transportation and Utilities,2006,7,237,4.2,2006-07-01 07:00:00+00:00
689,Transportation and Utilities,2006,8,217,3.7,2006-08-01 07:00:00+00:00
690,Transportation and Utilities,2006,9,183,3.1,2006-09-01 07:00:00+00:00
691,Transportation and Utilities,2006,10,206,3.6,2006-10-01 07:00:00+00:00
692,Transportation and Utilities,2006,11,183,3.1,2006-11-01 08:00:00+00:00
693,Transportation and Utilities,2006,12,190,3.2,2006-12-01 08:00:00+00:00
694,Transportation and Utilities,2007,1,248,4.2,2007-01-01 08:00:00+00:00
695,Transportation and Utilities,2007,2,251,4.2,2007-02-01 08:00:00+00:00
696,Transportation and Utilities,2007,3,249,4.3,2007-03-01 08:00:00+00:00
697,Transportation and Utilities,2007,4,188,3.3,2007-04-01 07:00:00+00:00
698,Transportation and Utilities,2007,5,216,3.8,2007-05-01 07:00:00+00:00
699,Transportation and Utilities,2007,6,242,4.1,2007-06-01 07:00:00+00:00
700,Transportation and Utilities,2007,7,309,5.1,2007-07-01 07:00:00+00:00
701,Transportation and Utilities,2007,8,205,3.4,2007-08-01 07:00:00+00:00
702,Transportation and Utilities,2007,9,224,3.7,2007-09-01 07:00:00+00:00
703,Transportation and Utilities,2007,10,218,3.6,2007-10-01 07:00:00+00:00
704,Transportation and Utilities,2007,11,242,3.9,2007-11-01 07:00:00+00:00
705,Transportation and Utilities,2007,12,210,3.4,2007-12-01 08:00:00+00:00
706,Transportation and Utilities,2008,1,271,4.4,2008-01-01 08:00:00+00:00
707,Transportation and Utilities,2008,2,289,4.6,2008-02-01 08:00:00+00:00
708,Transportation and Utilities,2008,3,267,4.3,2008-03-01 08:00:00+00:00
709,Transportation and Utilities,2008,4,245,4.0,2008-04-01 07:00:00+00:00
710,Transportation and Utilities,2008,5,269,4.3,2008-05-01 07:00:00+00:00
711,Transportation and Utilities,2008,6,329,5.1,2008-06-01 07:00:00+00:00
712,Transportation and Utilities,2008,7,359,5.7,2008-07-01 07:00:00+00:00
713,Transportation and Utilities,2008,8,309,5.2,2008-08-01 07:00:00+00:00
714,Transportation and Utilities,2008,9,337,5.8,2008-09-01 07:00:00+00:00
715,Transportation and Utilities,2008,10,316,5.7,2008-10-01 07:00:00+00:00
716,Transportation and Utilities,2008,11,331,5.8,2008-11-01 07:00:00+00:00
717,Transportation and Utilities,2008,12,421,6.7,2008-12-01 08:00:00+00:00
718,Transportation and Utilities,2009,1,522,8.4,2009-01-01 08:00:00+00:00
719,Transportation and Utilities,2009,2,563,9.1,2009-02-01 08:00:00+00:00
720,Transportation and Utilities,2009,3,558,9.0,2009-03-01 08:00:00+00:00
721,Transportation and Utilities,2009,4,541,9.0,2009-04-01 07:00:00+00:00
722,Transportation and Utilities,2009,5,506,8.5,2009-05-01 07:00:00+00:00
723,Transportation and Utilities,2009,6,499,8.4,2009-06-01 07:00:00+00:00
724,Transportation and Utilities,2009,7,511,8.8,2009-07-01 07:00:00+00:00
725,Transportation and Utilities,2009,8,547,9.8,2009-08-01 07:00:00+00:00
726,Transportation and Utilities,2009,9,538,9.5,2009-09-01 07:00:00+00:00
727,Transportation and Utilities,2009,10,480,8.6,2009-10-01 07:00:00+00:00
728,Transportation and Utilities,2009,11,493,8.5,2009-11-01 07:00:00+00:00
729,Transportation and Utilities,2009,12,539,9.0,2009-12-01 08:00:00+00:00
730,Transportation and Utilities,2010,1,657,11.3,2010-01-01 08:00:00+00:00
731,Transportation and Utilities,2010,2,591,10.5,2010-02-01 08:00:00+00:00
732,Information,2000,1,125,3.4,2000-01-01 08:00:00+00:00
733,Information,2000,2,112,2.9,2000-02-01 08:00:00+00:00
734,Information,2000,3,140,3.6,2000-03-01 08:00:00+00:00
735,Information,2000,4,95,2.4,2000-04-01 08:00:00+00:00
736,Information,2000,5,131,3.5,2000-05-01 07:00:00+00:00
